Xline,Inline,Z,Theta,Alpha,Beta,Length,Name
0.00,1000.00,2172.10,0.00,0.00,-0.80,0.00,1
0.00,2000.00,2160.20,0.00,0.00,-1.00,0.00,2
0.00,3000.00,2145.70,0.00,0.00,-1.30,0.00,3
0.00,4000.00,2123.30,0.00,0.00,-1.20,0.00,4
0.00,5000.00,2102.90,0.00,0.00,0.30,0.00,5
0.00,6000.00,2077.70,0.00,0.00,-5.30,0.00,6
0.00,7000.00,2048.40,0.00,0.00,-1.70,0.00,7
0.00,8000.00,2039.60,0.00,0.00,1.40,0.00,8
0.00,9000.00,1984.90,0.00,0.00,-7.80,0.00,9
0.00,10000.00,1927.50,0.00,0.00,-2.50,0.00,10
0.00,11000.00,1847.50,0.00,0.00,-6.10,0.00,11
0.00,12000.00,1777.20,0.00,0.00,-1.50,0.00,12
0.00,13000.00,1727.10,0.00,0.00,-4.60,0.00,13
0.00,14000.00,1657.70,0.00,0.00,-1.30,0.00,14
0.00,15000.00,1629.60,0.00,0.00,-1.80,0.00,15
0.00,16000.00,1613.00,0.00,0.00,-2.70,0.00,16
0.00,17000.00,1549.50,0.00,0.00,-3.00,0.00,17
0.00,18000.00,1520.70,0.00,0.00,-2.20,0.00,18
0.00,19000.00,1470.10,0.00,0.00,-3.10,0.00,19
0.00,20000.00,1359.70,0.00,0.00,-8.90,0.00,20
0.00,21000.00,1258.70,0.00,0.00,-7.20,0.00,21
0.00,22000.00,1189.30,0.00,0.00,-5.70,0.00,22
0.00,23000.00,1073.80,0.00,0.00,-6.00,0.00,23
0.00,24000.00,975.80,0.00,0.00,-4.90,0.00,24
0.00,25000.00,929.50,0.00,0.00,0.60,0.00,25

