Xline,Inline,Z,Azimuth,Dip,Length,Type,Name
0.00,0.00,2140.00,90.00,0.00,0.00,edipole,TX01
0.00,1041.70,2121.60,90.00,0.00,0.00,edipole,TX02
0.00,2083.30,2107.20,90.00,0.00,0.00,edipole,TX03
0.00,3125.00,2086.20,90.00,0.00,0.00,edipole,TX04
0.00,4166.70,2070.20,90.00,0.00,0.00,edipole,TX05
0.00,5208.30,2053.80,90.00,0.00,0.00,edipole,TX06
0.00,6250.00,2025.60,90.00,0.00,0.00,edipole,TX07
0.00,7291.70,2001.30,90.00,0.00,0.00,edipole,TX08
0.00,8333.30,1966.00,90.00,0.00,0.00,edipole,TX09
0.00,9375.00,1892.10,90.00,0.00,0.00,edipole,TX10
0.00,10416.70,1855.00,90.00,0.00,0.00,edipole,TX11
0.00,11458.30,1749.50,90.00,0.00,0.00,edipole,TX12
0.00,12500.00,1700.20,90.00,0.00,0.00,edipole,TX13
0.00,13541.70,1638.70,90.00,0.00,0.00,edipole,TX14
0.00,14583.30,1596.40,90.00,0.00,0.00,edipole,TX15
0.00,15625.00,1586.20,90.00,0.00,0.00,edipole,TX16
0.00,16666.70,1526.70,90.00,0.00,0.00,edipole,TX17
0.00,17708.30,1481.40,90.00,0.00,0.00,edipole,TX18
0.00,18750.00,1432.00,90.00,0.00,0.00,edipole,TX19
0.00,19791.70,1346.20,90.00,0.00,0.00,edipole,TX20
0.00,20833.30,1228.90,90.00,0.00,0.00,edipole,TX21
0.00,21875.00,1150.00,90.00,0.00,0.00,edipole,TX22
0.00,22916.70,1032.40,90.00,0.00,0.00,edipole,TX23
0.00,23958.30,929.60,90.00,0.00,0.00,edipole,TX24
0.00,25000.00,879.50,90.00,0.00,0.00,edipole,TX25

